accountno, parcelnb, saledt, locationaddress, locationcity, locationzipcode, subdivisionid, subdivisiondescr, nbhd, occdescr, bltasoccdesc, bltasid, residentialsf, bsmntsf, bsmntfinsf, garagesf, grossacres, yrblt, salep, value
"R1514717","9717405029","2021-08-19","3233 REEDGRASS CT","FORT COLLINS","80521","1887","PONDS AT OVERLAND TRAIL","19722","Single Family Residential","2 Story","8","2321","1120","760","484",".14000000","1999","589900.00","520200.00"
"R1411632","8623106021","2021-08-18","7761 PARK RIDGE CIR","FORT COLLINS","80528","0579","HIGHLAND HILLS PUD","28623","Single Family Residential","2 Story","8","2777","1357","","771","1.13000000","1995","785000.00","633700.00"
"R1038931","9736411067","2021-08-18","4503 SEAWAY CIR","FORT COLLINS","80525","133402","WHALERS COVE","19601","Single Family Residential","Ranch","1","940","840","840","400",".10000000","1983","400000.00","346800.00"
"R1342479","8732307001","2021-08-18","4236 WINTERSTONE CT","FORT COLLINS","80525","16166","SUNSTONE VILLAGE PUD","18729","Single Family Residential","2 Story","8","1538","440","440","440",".24000000","1992","490000.00","413900.00"
"R0135127","9726209061","2021-08-18","831 WINCHESTER DR","FORT COLLINS","80526","1230","WOODWEST","19722","Single Family Residential","Split Level","7","1470","432","432","456",".20000000","1973","435000.00","382000.00"
"R0095427","9716411009","2021-08-18","1208 BRIARWOOD RD","FORT COLLINS","80521","1219","WEST LAKE STREET","19715","Single Family Residential","Split Level","7","1800","","","336",".19000000","1972","478300.00","386200.00"
"R1642383","9613141006","2021-08-18","635 STONEY BROOK RD","FORT COLLINS","80525","18383","PROVINCETOWNE FILING 3, FTC (20060088535)","19613","Single Family Residential","Split Level","7","1755","418","","672",".15000000","2012","465000.00","388700.00"
"R1631886","8608241102","2021-08-17","2303 OWENS AVE 102","FORT COLLINS","80528","808706","TIMBERS CONDO ASSOC OF FTC SUPP 6  FTC (20040103114)","18729","Condo unit","Condo &lt;= 3 Stories","19","1167","","","220",".00000000","2004","315000.00","289600.00"
"R1644763","8831440001","2021-08-17","1921 WARREN DR","FORT COLLINS","80524","0181001002","COUNTRY CLUB ESTATES AMD LOT 50 OF RESUB &amp; LOT 73 OF 3RD FIL (20070047361)","19836","Single Family Residential","Ranch","1","2082","2082","1291","896",".55000000","1969","855000.00","635000.00"
"R1646300","8720343202","2021-08-17","2133 KRISRON RD B202","FORT COLLINS","80525","8151004000","SIDEHILL CONDOS BLOCK 1 SUPP 4, FTC (20070067420)","18933","Condo unit","Condo &lt;= 3 Stories","19","1033","","","",".00000000","2006","307800.00","273900.00"
"R0751308","9726323004","2021-08-17","660 ZUNI CIR","FORT COLLINS","80526","12307","WOODWEST","19722","Single Family Residential","Split Level","7","1794","648","648","470",".34000000","1979","525000.00","465000.00"
"R0724971","8730310011","2021-08-17","1160 COBBLESTONE CT","FORT COLLINS","80525","117732","SOUTHMOOR VILLAGE EAST","19724","Single Family Residential","2 Story","8","2664","1032","712","960",".34000000","1983","980000.00","814700.00"
"R1181173","8831314042","2021-08-17","2110 LINDEN LAKE RD","FORT COLLINS","80524","0495","LINDEN LAKE","19836","Single Family Residential","2 Story","8","3741","1904","1311","749",".39000000","1994","1100000.00","953500.00"
"R1007181","8719318017","2021-08-16","1315 KIRKWOOD DR 901","FORT COLLINS","80525","1357","PARKWOOD GARDENS CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","948","","","",".00000000","1970","230000.00","200700.00"
"R1489739","8733218007","2021-08-16","3220 MESA VERDE ST","FORT COLLINS","80525","1865","WOODLAND PARK ESTATES PUD","18729","Single Family Residential","2 Story","8","3948","2074","2074","784",".51000000","2000","1000000.00","795600.00"
"R1659071","8608436012","2021-08-16","2615 EAGLE ROOST PL","FORT COLLINS","80528","0898002000","KECHTER FARM PLD FIL 2","18729","Single Family Residential","Ranch","1","2631","2579","","993",".29000000","2018","895000.00","751700.00"
"R1632660","8704315012","2021-08-16","3168 LOWER LOOP DR","FORT COLLINS","80524","8132","TRAIL HEAD FTC  (20040123495)","18933","Single Family Residential","Ranch","1","1599","1472","","440",".16000000","2012","500000.00","391800.00"
"R1642570","9613434008","2021-08-16","909 SNOWY PLAIN RD","FORT COLLINS","80525","18383","PROVINCETOWNE FILING 3, FTC (20060088535)","19613","Single Family Residential","Ranch","1","1950","1158","","570",".13000000","2011","572000.00","425200.00"
"R1620578","9736375002","2021-08-16","4245 BOARDWALK DR F2","FORT COLLINS","80525","802502","PROMONTORY CONDOMINIUM, FIRST SUPP","19601","Condo unit","Condo &lt;= 3 Stories","19","1132","","","280",".00000000","2002","310000.00","271800.00"
"R1599312","8605469001","2021-08-16","2703 AUTUMN HARVEST WAY","FORT COLLINS","80528","8014","HARVEST PARK","18729","Single Family Residential","2 Story","8","2335","783","640","441",".14000000","2004","657000.00","500600.00"
"R1659304","8708224002","2021-08-13","2109 BOCK ST","FORT COLLINS","80524","8330002000","TIMBERVINE 2nd Filing","18933","Single Family Residential","2 Story","8","1714","","","560",".11000000","2017","476000.00","401000.00"
"R1607683","8608317001","2021-08-13","6303 CARMICHAEL ST","FORT COLLINS","80528","0679","WESTCHASE PUD","18729","Single Family Residential","Ranch","1","2276","912","","682",".18000000","2002","600000.00","451100.00"
"R1586218","8618216065","2021-08-13","6809 ANTIGUA DR 65","FORT COLLINS","80525","19562","STANTON CREEK","19613","Townhouse","Townhouse Two Story","68","1178","610","","200",".02000000","2000","361175.00","279500.00"
"R1618065","8715113075","2021-08-13","4679 BRUMBY LN","FORT COLLINS","80524","06842","CLYDESDALE PARK PUD, SECOND FILING","18933","Single Family Residential","2 Story","8","2027","958","","644",".18000000","2003","541300.00","476300.00"
"R1646054","8707120024","2021-08-13","365 KALKASKA CT","FORT COLLINS","80524","1942001001","DRY CREEK MINOR SUB, 1ST RPLT, FTC (20070083115)","18933","Single Family Residential","2 Story","8","1628","","","540",".11000000","2012","432500.00","356600.00"
"R1662175","8708132003","2021-08-13","458 ZEPPELIN WAY","FORT COLLINS","80524","8255002000","EAST RIDGE 2nd FILING","18933","Townhouse - 1/2 Duplex","Townhouse Two Story","68","1547","685","","399",".06000000","2017","492000.00","383600.00"
"R1662176","8708132004","2021-08-13","456 ZEPPELIN WAY","FORT COLLINS","80524","8255002000","EAST RIDGE 2nd FILING","18933","Townhouse - 1/2 Duplex","Townhouse Two Story","68","1547","685","564","420",".06000000","2017","524000.00","407100.00"
"R0183741","9725407048","2021-08-13","3524 LANCASTER DR","FORT COLLINS","80525","12121","VILLAGE EAST","19724","Single Family Residential","Split Level","7","1480","","","400",".51000000","1975","470000.00","377300.00"
"R0598771","9611405036","2021-08-13","6413 ORBIT WAY","FORT COLLINS","80525","0392","SKYVIEW SOUTH","19614","Single Family Residential","Ranch","1","1125","","","368",".18000000","1977","380000.00","300700.00"
"R1481088","8605112041","2021-08-13","3108 INDIGO CIR S","FORT COLLINS","80528","16603","WILD WOOD FARM PUD","18729","Single Family Residential","Ranch","1","1406","1406","746","400",".17000000","1998","516500.00","392900.00"
"R1570994","8606485002","2021-08-13","5225 WHITE WILLOW DR P110","FORT COLLINS","80528","19444","BROOKSIDE AT WILLOW SPRINGS CONDOS","19613","Condo unit","Condo &lt;= 3 Stories","19","1012","","","",".00000000","1998","290000.00","246100.00"
"R1008790","8732208008","2021-08-13","3630 ARCTIC FOX DR","FORT COLLINS","80525","1367","FOX MEADOWS","18729","Single Family Residential","Ranch","1","1016","960","744","480",".16000000","1983","510000.00","353500.00"
"R1006894","8719317012","2021-08-13","1309 KIRKWOOD DR 504","FORT COLLINS","80525","1357","PARKWOOD GARDENS CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","964","","","",".00000000","1970","227000.00","202500.00"
"R0754170","8717119168","2021-08-12","2616 DARREN ST","FORT COLLINS","80524","03983","COUNTRYSIDE PARK","18933","Single Family Residential","Bi Level 2 Story","4","1654","","","494",".11000000","1980","414000.00","314000.00"
"R1586776","8704405145","2021-08-12","914 GLENLOCH DR","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","2 Story","8","1379","","","420",".09000000","2002","455000.00","310600.00"
"R1600423","9614419391","2021-08-12","7220 AVONDALE RD","FORT COLLINS","80525","18513","RIDGEWOOD HILLS PUD, THIRD FILING","19614","Single Family Residential","2 Story","8","2269","865","865","520",".22000000","2001","608500.00","480600.00"
"R1609744","8604407307","2021-08-12","5427 NORTHERN LIGHTS DR","FORT COLLINS","80528","8040","WILLOW BROOK","18729","Single Family Residential","2 Story","8","2521","1312","1062","688",".13000000","2005","665000.00","557800.00"
"R1604060","8731273030","2021-08-12","4014 S LEMAY AVE 30","FORT COLLINS","80525","192601","GREENS AT COLLINDALE 1ST REPLAT","19601","Single Family Residential","Ranch","1","1650","1650","1650","506",".15000000","2004","692000.00","635900.00"
"R1607546","8608311025","2021-08-12","6115 TILDEN ST","FORT COLLINS","80528","0679","WESTCHASE PUD","18729","Single Family Residential","2 Story","8","2579","1324","772","572",".16000000","2003","675000.00","532700.00"
"R1598091","8710415033","2021-08-11","186 CAMINO REAL","FORT COLLINS","80524","065401","TRAILS AT VISTA BONITA PUD, AMD","18933","Single Family Residential","Ranch","1","2105","1858","280","742",".31000000","2001","740000.00","586000.00"
"R1598983","8605147002","2021-08-11","2803 HARVEST PARK LN","FORT COLLINS","80528","8014","HARVEST PARK","18729","Townhouse","Townhouse Two Story","68","1326","594","","440",".04000000","2002","383000.00","326700.00"
"R1656519","8609272104","2021-08-11","5851 DRIPPING ROCK LN G104","FORT COLLINS","80528","8241011000","CROSSING AT FOSSIL LAKE CONDOS BLDG G L7 B1","19613","Condo unit","Condo &lt;= 3 Stories","19","1536","651","","418",".00000000","2013","422000.00","369200.00"
"R1340948","8732105048","2021-08-11","2637 APPLETON CT","FORT COLLINS","80525","1733","ENGLISH RANCH","18729","Single Family Residential","Ranch","1","1427","1427","1427","400",".15000000","1993","555000.00","427500.00"
"R1651749","8609119003","2021-08-09","3914 WILD ELM WAY","FORT COLLINS","80528","0637008000","MCCLELLANDS CREEK 3RD FIL (Fossil Lake PUD 8th Sub Number)","19613","Single Family Residential","2 Story","8","2194","1105","","649",".12000000","2015","677500.00","554700.00"
"R1628327","8832224015","2021-08-09","2469 ASHLAND LN","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","Split Level","7","2027","651","470","576",".13000000","2007","563336.00","392000.00"
"R1598982","8605147001","2021-08-09","5102 MILL STONE WAY","FORT COLLINS","80528","8014","HARVEST PARK","18729","Townhouse","Townhouse Two Story","68","1606","814","","420",".07000000","2002","475000.00","364400.00"
"R0174360","9721110154","2021-08-09","1912 DORSET DR","FORT COLLINS","80526","10131","BROWN FARM","19722","Single Family Residential","Bi Level 2 Story","4","1688","","","288",".14000000","1974","458300.00","335200.00"
"R0124982","9725113045","2021-08-09","1024 OXFORD LN A12","FORT COLLINS","80525","1210","VILLAGE IV CONDO","19724","Townhouse/Condo","Townhouse One Story","61","912","912","","200",".00000000","1976","306000.00","246600.00"
"R1006517","8719316001","2021-08-09","1305 KIRKWOOD DR 101","FORT COLLINS","80525","1357","PARKWOOD GARDENS CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","930","","","",".00000000","1970","216500.00","198800.00"
"R1586668","8704405059","2021-08-09","914 ELGIN CT","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","Ranch","1","1633","","","450",".15000000","2002","435000.00","344300.00"
"R1468561","9614107184","2021-08-09","6612 AVONDALE RD 7A","FORT COLLINS","80525","1851","RIDGEWOOD HILLS PUD","19614","Townhouse","Townhouse One Story","61","1122","1110","","240",".06000000","1997","337000.00","294700.00"
"R1382870","8732311009","2021-08-09","2119 WINTERSTONE CT","FORT COLLINS","80525","16168","SUNSTONE VILLAGE PUD","18729","Single Family Residential","2 Story","8","2060","783","","520",".14000000","1994","578500.00","434800.00"
"R1438735","9602218008","2021-08-09","707 BENTLEY PL","FORT COLLINS","80526","1839","COVENTRY","19601","Single Family Residential","2 Story","8","2504","645","525","630",".16000000","1999",".00","493800.00"
"R1378252","8732110173","2021-08-06","3749 BROMLEY DR","FORT COLLINS","80525","17333","ENGLISH RANCH","18729","Single Family Residential","2 Story","8","2334","1102","952","536",".21000000","1995","617800.00","510200.00"
"R1534203","9614110163","2021-08-06","320 STRASBURG DR B8","FORT COLLINS","80525","18512","RIDGEWOOD HILLS PUD","19614","Townhouse","Townhouse Two Story","68","1185","606","606","264",".04000000","2003","373315.00","304300.00"
"R0727890","8730117045","2021-08-06","1900 SONORA ST","FORT COLLINS","80525","1291","MEADOWS EAST","19724","Single Family Residential","Bi Level 2 Story","4","1644","","","420",".34000000","1981","416000.00","359800.00"
"R0017230","9710113007","2021-08-06","231 N SHIELDS ST","FORT COLLINS","80521","1134","MOUNTAIN VIEW","19715","Single Family Residential","Ranch","1","576","576","576","1080",".21000000","1946","460000.00","345300.00"
"R0175307","9721113116","2021-08-06","2213 SHROPSHIRE AVE","FORT COLLINS","80526","10131","BROWN FARM","19722","Single Family Residential","Bi Level 2 Story","4","1932","","","552",".16000000","1974","501000.00","364100.00"
"R1661836","8604430023","2021-08-06","4010 ROCK CREEK DR","FORT COLLINS","80528","8198","SUNRISE RIDGE, FIRST FILING, FTC (20060078301)","18729","Townhouse - 1/2 Duplex","Townhouse One Story","61","1917","1847","","718",".26000000","2017","725000.00","579400.00"
"R1586877","8704405204","2021-08-06","3902 RANNOCH ST","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","Ranch","1","1310","","","380",".10000000","2001","390000.00","306600.00"
"R1600775","8605494016","2021-08-06","2808 BRUSH CREEK DR","FORT COLLINS","80528","8017","SAGE CREEK SUBDIVISION","18729","Single Family Residential","2 Story","8","1760","808","","400",".13000000","2001","475000.00","413800.00"
"R1628467","8832229063","2021-08-06","2308 BAR HARBOR DR","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","Split Level","7","2186","616","48","534",".11000000","2013","520000.00","391000.00"
"R1630673","9701373021","2021-08-06","220 PASCAL ST","FORT COLLINS","80524","8116","OLD TOWN NORTH, FTC (20040056692)","19836","Single Family Residential","2 Story","8","2062","984","","480",".09000000","2007","682000.00","637700.00"
"R1632505","8704305002","2021-08-05","714 CAMPFIRE DR","FORT COLLINS","80524","8132","TRAIL HEAD FTC  (20040123495)","18933","Single Family Residential","2 Story","8","1600","720","","532",".11000000","2011","451000.00","378600.00"
"R1605543","8830414139","2021-08-05","1827 BRIGHTWATER DR","FORT COLLINS","80524","16551","RICHARDS LAKE PUD FILING ONE","18933","Single Family Residential","2 Story","8","2368","1198","","462",".18000000","2004","528000.00","430700.00"
"R1628213","8832218005","2021-08-05","2626 CLARION LN","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","Ranch","1","1302","1284","1284","462",".14000000","2008","490000.00","380100.00"
"R1586734","8704405103","2021-08-05","3702 GLENLOCH CT","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","Ranch","1","1330","","","400",".11000000","2001","405000.00","310900.00"
"R1598434","9726435084","2021-08-05","3351 TILLER CT","FORT COLLINS","80526","16053","WARREN FARMS THIRD FILING","19722","Single Family Residential","2 Story","8","1248","","","240",".07000000","2002","400000.00","310700.00"
"R1658482","9702125003","2021-08-05","321 URBAN PRAIRIE ST 3","FORT COLLINS","80524","8260002000","UNION PLACE SUB 2nd FIL","19829","Townhouse","Townhouse 3 Story","69","1449","","","504",".03000000","2015","440000.00","397000.00"
"R0184101","9725407081","2021-08-05","3536 KINGSTON CIR","FORT COLLINS","80525","12121","VILLAGE EAST","19724","Single Family Residential","Split Level","7","1480","","","400",".19000000","1975","432000.00","363700.00"
"R0193232","8716208005","2021-08-05","731 DAWN AVE","FORT COLLINS","80524","01955","SUNRISE ACRES","18933","Duplex -side by side","Duplex One Story","51","1904","","","545",".27000000","1972","475000.00","403600.00"
"R0199664","9826106026","2021-08-05","3508 SWAN LN","FORT COLLINS","80524","0256","TERRY POINT ESTATES","19836","Single Family Residential","Split Level","7","2662","","","576",".38000000","1976","730000.00","508600.00"
"R1353144","8711314001","2021-08-05","275 ORILLA DEL LAGO","FORT COLLINS","80524","025761","VISTA BONITA","18933","Single Family Residential","2 Story","8","1923","1357","","550",".23000000","1992","752000.00","511300.00"
"R1438867","9602218020","2021-08-04","743 STODDARD DR","FORT COLLINS","80526","1839","COVENTRY","19601","Single Family Residential","2 Story","8","2423","504","","462",".16000000","1997","528300.00","456300.00"
"R0758426","9727210037","2021-08-04","2812 CLAREMONT DR","FORT COLLINS","80526","12614","CEDAR VILLAGE","19722","Single Family Residential","Ranch","1","1332","1332","","360",".15000000","1980","425000.00","374400.00"
"R1642520","9613432006","2021-08-04","7315 CROOKED ARROW LN","FORT COLLINS","80525","18383","PROVINCETOWNE FILING 3, FTC (20060088535)","19613","Single Family Residential","Ranch","1","1755","1650","988","440",".16000000","2008","585000.00","473300.00"
"R1600368","9614419229","2021-08-03","7402 TRIANGLE DR","FORT COLLINS","80525","18513","RIDGEWOOD HILLS PUD, THIRD FILING","19614","Single Family Residential","2 Story","8","2457","824","824","380",".14000000","2005","555000.00","460300.00"
"R1655535","8608265014","2021-08-03","5909 YELLOW CREEK DR","FORT COLLINS","80528","0896001000","MAIL CREEK CROSSING PLD (20130093284)","18729","Single Family Residential","2 Story","8","3536","1522","1282","664",".18000000","2018","798550.00","630200.00"
"R0194271","8717106008","2021-08-03","743 RIVERBEND DR","FORT COLLINS","80524","01132","PLEASANT ACRES","18933","Single Family Residential","Ranch","1","1056","960","480","",".37000000","1938","518200.00","297000.00"
"R0000884","8718305051","2021-08-03","1408 E PITKIN ST","FORT COLLINS","80524","10761","HIGHLANDER HEIGHTS","18933","Single Family Residential","Bi Level 2 Story","4","2139","","","650",".30000000","1980","565000.00","434700.00"
"R0012840","9710101003","2021-08-03","514 PEARL ST","FORT COLLINS","80521","/100769","S10 T07 R69","19715","Single Family Residential","Ranch","1","1008","","","",".13000000","1954","450000.00","335500.00"
"R1139606","9715135001","2021-08-03","1209 W PLUM ST C1","FORT COLLINS","80521","1449","TOWN SQUARE CONDO","19715","Condo unit","Condo &lt;= 3 Stories","19","734","","","",".00000000","1980","208950.00","189900.00"
"R1039016","9736411074","2021-08-03","4517 SEAWAY CIR","FORT COLLINS","80525","133402","WHALERS COVE","19601","Single Family Residential","Ranch","1","1004","","","480",".12000000","1985","405200.00","331900.00"
"R1261657","8606329008","2021-08-03","1300 FAIRWAY FIVE DR","FORT COLLINS","80525","1626","FAIRWAY FIVE ESTATES PUD AT SOUTHRIDGE GREENS","19613","Single Family Residential","2 Story","8","1782","912","","484",".20000000","1988","625000.00","424100.00"
"R1280929","9736431040","2021-08-02","4566 SEABOARD LN","FORT COLLINS","80525","1643","MALLARDS AT THE LANDINGS PUD","19601","Single Family Residential","Ranch","1","1451","1413","1217","484",".16000000","1988","600000.00","450500.00"
"R1435973","9724253015","2021-08-02","1850 INDIAN HILLS CIR","FORT COLLINS","80525","1836","INDIAN HILLS VILLAGE PUD","19724","Single Family Residential","2 Story","8","1716","834","834","400",".08000000","1995","627600.00","453700.00"
"R1423495","8614410010","2021-08-02","7232 WHITWORTH CT","FORT COLLINS","80528","04553","PTARMIGAN","28623","Single Family Residential","2 Story","8","2689","1529","1529","698",".25000000","1998","651250.00","555000.00"
"R1409573","8606116149","2021-08-02","2007 ANGELO DR","FORT COLLINS","80528","1814","HARMONY CROSSING PUD","19613","Single Family Residential","2 Story","8","1655","870","","440",".10000000","1997","445000.00","374700.00"
"R1373927","8607313011","2021-08-02","6200 PHEASANT CT","FORT COLLINS","80525","17403","PARAGON POINT PUD","19613","Single Family Residential","2 Story","8","2862","1479","1479","576",".23000000","1996","830000.00","648200.00"
"R1285564","8831428010","2021-08-02","2016 SIMSBURY CT","FORT COLLINS","80524","0361011","ADRIEL VILLAGE","19836","Single Family Residential","Split Level","7","2198","922","922","506",".14000000","1988","473330.00","470900.00"
"R0027804","9711220022","2021-08-02","408 WOOD ST","FORT COLLINS","80521","1221","WEST SIDE","19711","Single Family Residential","Ranch","1","858","","","",".11000000","1916","615100.00","477200.00"
"R0078166","9715207156","2021-08-02","700 S TAFT HILL RD","FORT COLLINS","80521","11223","MILLER BROTHERS","19715","Single Family Residential","Ranch","1","864","","","",".13000000","1914","368000.00","193700.00"
"R0141640","8706108005","2021-08-02","1917 KEDRON CIR","FORT COLLINS","80524","03161","ADRIEL HILLS","19836","Townhouse/Condo","Townhouse Two Story","68","1104","552","552","312",".00000000","1972","365000.00","283000.00"
"R0161179","8831407032","2021-08-02","1905 RANGEVIEW DR","FORT COLLINS","80524","0248","SHER-ELL ACRES","19836","Single Family Residential","Split Level","7","3196","","","714",".39000000","1977","800000.00","628600.00"
"R0719790","8622318044","2021-08-02","4408 FLATTOP CT","FORT COLLINS","80528","03972","MOUNTAIN RANGE SHADOWS","19613","Single Family Residential","Split Level","7","1344","","","288",".11000000","1979","352000.00","260100.00"
"R1609775","8604407338","2021-08-02","3820 ECLIPSE LN","FORT COLLINS","80528","8040","WILLOW BROOK","18729","Single Family Residential","2 Story","8","2480","1230","800","460",".13000000","2002","675000.00","533700.00"
"R1600823","8605496024","2021-08-02","5551 CORNERSTONE DR D23","FORT COLLINS","80528","8017","SAGE CREEK SUBDIVISION","18729","Townhouse","Townhouse Two Story","68","1105","604","","180",".03000000","2002","373000.00","288200.00"
"R1600191","9614318322","2021-08-02","7427 MATHESON DR","FORT COLLINS","80525","18513","RIDGEWOOD HILLS PUD, THIRD FILING","19614","Single Family Residential","2 Story","8","2181","684","","724",".24000000","2004","500000.00","446300.00"
"R1618771","8729251001","2021-08-02","2621 RIGDEN PKWY F1","FORT COLLINS","80525","80636","PARKSIDE WEST AT RIGDEN FARM BUILDING F CONDOMINIUMS","18729","Townhouse/Condo","Townhouse Two Story","68","1039","602","","220",".00000000","2001","300000.00","280800.00"
"R1652985","8720355003","2021-08-02","2120 CUTTING HORSE DR","FORT COLLINS","80525","8288001000","BUCKING HORSE FILING 1","18933","Single Family Residential","Ranch","1","1739","1669","840","420",".11000000","2017","665400.00","482400.00"
"R1645874","8707114017","2021-07-30","1920 WINAMAC DR","FORT COLLINS","80524","1942001001","DRY CREEK MINOR SUB, 1ST RPLT, FTC (20070083115)","18933","Single Family Residential","2 Story","8","1748","","","600",".10000000","2014","460200.00","365500.00"
"R1648660","8720346106","2021-07-30","2450 WINDROW DR D106","FORT COLLINS","80525","8151007000","SIDEHILL CONDOS BLK 3 SUPP 7","18933","Condo unit","Condo &lt;= 3 Stories","19","940","","","",".00000000","2009","290000.00","264400.00"
"R1637542","8720338203","2021-07-30","2133 KRISRON RD D203","FORT COLLINS","80525","81511","SIDEHILL CONDOS BLOCK 1 SUPP 1 FTC (20050082001)","18933","Condo unit","Condo &lt;= 3 Stories","19","1033","","","",".00000000","2005","290000.00","272600.00"
"R1642475","9613242039","2021-07-30","414 BOW CREEK LN","FORT COLLINS","80525","18383","PROVINCETOWNE FILING 3, FTC (20060088535)","19613","Single Family Residential","Ranch","1","1539","1419","","452",".25000000","2012","510000.00","424300.00"
"R1629816","8604116008","2021-07-30","5027 NORTHERN LIGHTS DR H","FORT COLLINS","80528","80854","MORNINGSIDE VILLAGE SUPP NO. 4 (BLDG 26) FTC (20040045066)","18729","Condo unit","Condo &lt;= 3 Stories","19","1047","","","180",".00000000","2003","287000.00","270300.00"
"R1629149","9601496023","2021-07-30","5220 BOARDWALK DR H23","FORT COLLINS","80525","803103","LODGE AT MIRAMONT CONDOMIMIUMS","19601","Condo unit","Condo &lt;= 3 Stories","19","1118","","","286",".00000000","2003","347000.00","283700.00"
