,accountno,parcelnb,saledt,locationaddress,locationcity,locationzipcode,subdivisionid,subdivisiondescr,nbhd,occdescr,bltasoccdesc,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,value
11,R0242985,9606105027,2020-07-31,4710 DEER TRAIL CT,FORT COLLINS,80526,02771,CONTINENTAL WEST,19829,Single Family Residential,Split Level,7,1629,,,484,.54000000,1978,430000.00,416500.00
12,R0245321,9731110020,2020-07-31,3704 SODERBURG DR,FORT COLLINS,80526,03102,CONTINENTAL NORTH,19829,Single Family Residential,Ranch,1,1064,1064,1064,,.23000000,1978,421000.00,404900.00
13,R0728721,8730117121,2020-07-31,2907 SOMBRERO LN,FORT COLLINS,80525,1291,MEADOWS EAST,19724,Single Family Residential,Split Level,7,1184,,,432,.18000000,1980,347500.00,324800.00
14,R1015702,9721329027,2020-07-31,2526 COURTLAND CT,FORT COLLINS,80526,10137,BROWN FARM,19722,Single Family Residential,Ranch,1,1394,1374,,502,.19000000,1986,404100.00,399600.00
15,R1050869,8614308008,2020-07-31,5400 VARDON WAY,FORT COLLINS,80528,0455,PTARMIGAN,28623,Single Family Residential,2 Story,8,2812,932,932,832,.52000000,1992,650000.00,607800.00
16,R0782165,8730126012,2020-07-31,1831 LAKESHORE CIR,FORT COLLINS,80525,1298,COBBLESTONE SHORES,19724,Single Family Residential,1? Story Fin,5,3342,1284,600,672,.31000000,1985,725000.00,757400.00
17,R1131869,9735324007,2020-07-31,4225 FLATIRON CT,FORT COLLINS,80526,1447,WILLOW PARK,19734,Single Family Residential,2 Story,8,1884,546,,462,.14000000,1989,450000.00,409800.00
18,R1260065,9721130010,2020-07-31,2509 COVENTRY CT,FORT COLLINS,80526,15443,FAIRBROOKE,19722,Single Family Residential,2 Story,8,2311,1236,1236,483,.14000000,1989,485000.00,484300.00
19,R1239899,9726357002,2020-07-31,3531 WINDMILL DR S2,FORT COLLINS,80526,151812,CHESTNUT VILLAGE CONDOS,19722,Condo unit,Condo <= 3 Stories,19,608,,,,.00000000,1985,164000.00,174800.00
20,R1206532,9727308227,2020-07-31,3525 WESTMINSTER CT,FORT COLLINS,80526,13483,ROSSBOROUGH,19722,Single Family Residential,Ranch,1,980,,,528,.16000000,1988,366150.00,302000.00
21,R1326724,8607216030,2020-07-31,1409 GLEN EAGLE CT,FORT COLLINS,80525,1712,CENTER GREENS AT SOUTHRIDGE GREENS PUD,19613,Single Family Residential,2 Story,8,3358,1722,1722,735,.23000000,1994,735000.00,774900.00
22,R1304275,9726370001,2020-07-31,3565 WINDMILL DR A1,FORT COLLINS,80526,151817,CHESTNUT VILLAGE CONDOS,19722,Condo unit,Condo <= 3 Stories,19,1000,,,,.00000000,1989,247500.00,233300.00
23,R1398288,8605107042,2020-07-31,3024 NINEBARK DR,FORT COLLINS,80528,16602,WILD WOOD FARM PUD,18729,Single Family Residential,2 Story,8,1809,927,,462,.19000000,1995,440000.00,413000.00
24,R1379186,8614317002,2020-07-31,5144 AUGUSTA CT,FORT COLLINS,80528,04552,PTARMIGAN,28623,Single Family Residential,Ranch,1,2142,2142,1626,864,.26000000,1995,635000.00,647300.00
25,R1373960,8607313015,2020-07-31,1100 PARAGON PL,FORT COLLINS,80525,17403,PARAGON POINT PUD,19613,Single Family Residential,2 Story,8,2706,1202,1202,831,.27000000,1994,585000.00,568200.00
26,R1439995,9823413041,2020-07-31,3816 EAGLE LAKE S,FORT COLLINS,80524,05595,EAGLE LAKE,19836,Single Family Residential,Ranch,1,2278,2173,1065,768,2.17000000,1996,785000.00,815400.00
27,R1433423,9722233004,2020-07-31,1637 WESTBRIDGE DR C4,FORT COLLINS,80526,182501,SUMMERHILL PUD,19722,Townhouse,Townhouse Two Story,68,1338,639,512,220,.04000000,1997,292500.00,322600.00
28,R1541838,9716159002,2020-07-31,730 PONDEROSA DR B,FORT COLLINS,80521,139302,PONDEROSA PARK PUD,19715,Single Family Residential,Split Level,7,1380,,,216,.08000000,1998,342000.00,336300.00
29,R1591641,9717407047,2020-07-31,1263 TWINFLOWER PL,FORT COLLINS,80521,18872,THE PONDS AT OVERLAND TRAIL 2ND,19722,Single Family Residential,2 Story,8,1860,924,,818,.19000000,2001,497000.00,480300.00
30,R1600103,9614318134,2020-07-31,633 PEYTON DR,FORT COLLINS,80525,18513,"RIDGEWOOD HILLS PUD, THIRD FILING",19614,Single Family Residential,2 Story,8,1481,719,536,646,.12000000,2005,424900.00,386600.00
31,R1607862,8608326008,2020-07-31,6515 WESTCHASE CT,FORT COLLINS,80528,0679,WESTCHASE PUD,18729,Single Family Residential,Ranch,1,3036,3036,1737,1062,.75000000,2015,1420000.00,984700.00
32,R1604268,9734141018,2020-07-31,1409 SAILCREST CT,FORT COLLINS,80526,19063,"MOUNTAIN RIDGE FARM PUD, 3RD FILING",19734,Townhouse,Townhouse Two Story,68,1560,816,,441,.07000000,2002,345000.00,364700.00
33,R1625996,9713242002,2020-07-31,617 WHEDBEE ST,FORT COLLINS,80524,8078,"PREISS SUBDIVISION, REPLAT OF N 53` OF LOT 4, BLK 156, FTC (2003018954)",19711,Single Family Residential,2 Story,8,1070,,,510,.12000000,2005,403500.00,474400.00
34,R1648454,9615120102,2020-07-31,6715 ENTERPRISE DR B102,FORT COLLINS,80526,8244002000,LIBERTY AT REGISTRY RIDGE CONDO COMMUNITY PH 3&4,19614,Townhouse/Condo,Townhouse Two Story,68,1697,859,,480,.00000000,2008,345000.00,347700.00
35,R1662061,8604138008,2020-07-31,4903 NORTHERN LIGHTS DR E,FORT COLLINS,80528,8050001002,BROOKFIELD 2nd REPLAT,18729,Townhouse,Townhouse Two Story,68,1539,750,,400,.05000000,2017,370000.00,374900.00
36,R1664318,8715219027,2020-07-30,4402 HUNTSMAN DR,FORT COLLINS,80524,8383001000,FOX GROVE SUB,18933,Single Family Residential,Ranch,1,1931,1931,,640,.17000000,2019,500000.00,478400.00
37,R1655432,8608255003,2020-07-30,2260 SPRUCE CREEK DR,FORT COLLINS,80528,0896001000,MAIL CREEK CROSSING PLD (20130093284),18729,Single Family Residential,2 Story,8,2787,1280,,687,.13000000,2015,622999.00,564700.00
38,R1656548,8730217017,2020-07-30,2662 GERANIUM LN,FORT COLLINS,80525,8319001000,"LAKEVIEW SUB, FTC",19724,Single Family Residential,Ranch,1,2180,2114,1029,714,.19000000,2015,642500.00,613700.00
39,R1662124,8708130022,2020-07-30,317 ZEPPELIN WAY,FORT COLLINS,80524,8255002000,EAST RIDGE 2nd FILING,18933,Townhouse - 1/2 Duplex,Townhouse One Story,61,1884,612,,400,.07000000,2019,395000.00,420300.00
40,R1646029,8707119009,2020-07-30,380 BANNOCK ST,FORT COLLINS,80524,1942001001,"DRY CREEK MINOR SUB, 1ST RPLT, FTC (20070083115)",18933,Single Family Residential,2 Story,8,1870,,,693,.28000000,2012,426000.00,412500.00
41,R1648551,8718420004,2020-07-30,1150 MONTGOMERY ST,FORT COLLINS,80524,1035003000,"EASTGATE, 3RD FILING (20090001962)",18933,Townhouse,Townhouse Two Story,68,1612,,,242,.07000000,2005,330000.00,323400.00
42,R1600850,8605496051,2020-07-30,5551 CORNERSTONE DR C17,FORT COLLINS,80528,8017,SAGE CREEK SUBDIVISION,18729,Townhouse,Townhouse Two Story,68,1105,604,,180,.03000000,2001,315000.00,286800.00
43,R1586915,8704405242,2020-07-30,3826 GLENARBOR LN E,FORT COLLINS,80524,1971,WATERGLEN PUD,18933,Single Family Residential,2 Story,8,1379,,,420,.10000000,2001,352000.00,313500.00
44,R1593249,9615107137,2020-07-30,1309 REEVES DR,FORT COLLINS,80526,800001,REGISTRY RIDGE PUD 1ST CORRECTED PLAT OF FINAL PLAT (2000038232),19614,Single Family Residential,Ranch,1,2028,1996,168,400,.15000000,2005,455000.00,446800.00
45,R1467573,9614107041,2020-07-30,519 IDALIA CT,FORT COLLINS,80525,1851,RIDGEWOOD HILLS PUD,19614,Single Family Residential,2 Story,8,2100,782,782,738,.23000000,1997,500000.00,457900.00
46,R1477641,9612225086,2020-07-30,500 DUNRAVEN DR,FORT COLLINS,80525,14315,HUNTINGTON HILLS PUD,19613,Single Family Residential,Ranch,1,1301,1263,270,506,.15000000,1996,390000.00,380800.00
47,R1274058,9611124006,2020-07-30,5716 PLEASANT HILL LN,FORT COLLINS,80526,0538,ADER ESTATES PUD,19614,Single Family Residential,2 Story,8,4020,2049,2049,3362,3.47000000,1989,1749000.00,1107800.00
48,R1045377,9735113002,2020-07-30,406 ALBION WAY,FORT COLLINS,80526,1392,SOUTH GLEN PUD,19734,Single Family Residential,Split Level,7,1404,,,418,.12000000,1982,380000.00,353100.00
49,R0173703,9721107059,2020-07-30,2254 W STUART ST,FORT COLLINS,80526,10131,BROWN FARM,19722,Single Family Residential,Split Level,7,1438,520,520,494,.17000000,1973,390000.00,365200.00
50,R0187402,8831408068,2020-07-30,1702 MIRAMONT DR,FORT COLLINS,80524,01813,COUNTRY CLUB ESTATES,19836,Single Family Residential,Ranch,1,1596,980,740,528,.39000000,1974,535000.00,527500.00
51,R0090239,9716112043,2020-07-30,2531 WOODVALLEY CT,FORT COLLINS,80521,12052,VALLEY HI,19715,Single Family Residential,Bi Level 2 Story,4,1962,,,300,.14000000,1975,402000.00,352000.00
52,R0112950,9724306018,2020-07-30,408 DUKE LN,FORT COLLINS,80525,11747,SOUTH COLLEGE HEIGHTS,19724,Single Family Residential,Ranch,1,1026,1026,800,297,.18000000,1961,435000.00,362300.00
53,R0105791,9724138164,2020-07-30,1916 PAWNEE DR,FORT COLLINS,80525,10838,INDIAN HILLS,19724,Single Family Residential,1? Story Fin,5,3188,935,935,624,.27000000,1979,772500.00,710100.00
54,R0158208,8716300037,2020-07-29,3526 E PROSPECT RD,FORT COLLINS,80525,/160768,S16 T07 R68,18933,Single Family Residential,Ranch,1,864,,,,.17000000,1964,250000.00,251100.00
55,R0126098,9725214001,2020-07-29,2808 TULANE DR,FORT COLLINS,80525,11963,THUNDERBIRD ESTATES,19724,Single Family Residential,2 Story,8,1824,,,288,.25000000,1963,347155.00,379900.00
56,M9020373,8708200045,2020-07-29,401 N TIMBERLINE RD 157,FORT COLLINS,80524,,,MH3,MH In Park,Single Wide,14,1056,,,,.00000000,1991,43317.00,16800.00
57,R0075973,9715202006,2020-07-29,536 S TAFT HILL RD,FORT COLLINS,80521,/150769,S15 T07 R69,19715,Single Family Residential,Ranch,1,1726,,,700,.35000000,1954,340000.00,380200.00
58,R0077704,9715207098,2020-07-29,1841 CRESTMORE PL,FORT COLLINS,80521,11203,MILLER BROTHERS,19715,Single Family Residential,Ranch,1,888,888,888,480,.15000000,1956,390000.00,363600.00
59,R0652113,9726230017,2020-07-29,3101 WORTHINGTON AVE,FORT COLLINS,80526,12306,WOODWEST,19722,Single Family Residential,Ranch,1,1347,1014,1014,400,.24000000,1978,431500.00,400100.00
60,R0685062,9727207068,2020-07-29,1701 HASTINGS DR,FORT COLLINS,80526,1261,CEDAR VILLAGE,19722,Single Family Residential,Bi Level 2 Story,4,1532,,,528,.18000000,1977,390000.00,354500.00
61,R1146947,9715432007,2020-07-29,1118 CITY PARK AVE 131,FORT COLLINS,80521,1461,WOODBRIDGEWESTVIEW CONDO,19715,Condo unit,Condo <= 3 Stories,19,864,,,,.00000000,1981,215000.00,212000.00
62,R1098365,8719218036,2020-07-29,1440 EDORA RD 36,FORT COLLINS,80525,131601,EDORA ACRES PUD,19724,Townhouse,Townhouse Two Story,68,1074,,,,.02000000,1985,255000.00,247400.00
63,R1186353,9726344004,2020-07-29,3565 WINDMILL DR C4,FORT COLLINS,80526,15181,CHESTNUT VILLAGE CONDOS,19722,Condo unit,Condo <= 3 Stories,19,848,,,,.00000000,1984,221000.00,208300.00
64,R1442902,9728410051,2020-07-29,2230 THREE OAKS CT,FORT COLLINS,80526,17683,SILVER OAK PUD,19722,Single Family Residential,2 Story,8,1736,923,923,724,.19000000,1995,455000.00,459100.00
65,R1488929,8605115048,2020-07-29,2602 TIMBERWOOD DR 48,FORT COLLINS,80528,1866,WILDWOOD TOWNHOMES PUD,18729,Townhouse,Townhouse Two Story,68,1132,594,,200,.03000000,1996,276000.00,284200.00
66,R1533215,9614110007,2020-07-29,408 HUDSON CT,FORT COLLINS,80525,18512,RIDGEWOOD HILLS PUD,19614,Single Family Residential,2 Story,8,1929,627,507,609,.17000000,1999,348000.00,427300.00
67,R1607569,8608311048,2020-07-29,2169 DOLAN ST,FORT COLLINS,80528,0679,WESTCHASE PUD,18729,Single Family Residential,2 Story,8,2576,1317,,609,.17000000,2004,501000.00,503700.00
68,R1608350,8609223017,2020-07-29,3345 LEDGESTONE CT,FORT COLLINS,80528,06372,"FOSSIL LAKE PUD, SECOND FILING",19613,Patio Home Single Family Residential,Ranch,1,1660,1660,972,528,.17000000,2004,445000.00,553400.00
69,R1628322,8832224010,2020-07-29,2521 ASHLAND LN,FORT COLLINS,80524,8098,"MAPLE HILL, FTC (20040004921)",18933,Single Family Residential,Ranch,1,1414,1414,,400,.15000000,2007,375000.00,364300.00
70,R1625507,8605406402,2020-07-29,5120 COUNTRY SQUIRE WAY,FORT COLLINS,80528,80144,"HARVEST PARK SUBDIVISION, FOURTH",18729,Townhouse,Townhouse Two Story,68,1326,528,,552,.04000000,2004,350000.00,340200.00
71,R1628082,8609129014,2020-07-29,5920 SNOWY PLOVER CT,FORT COLLINS,80528,808101,SWIFT ADD TO FOSSIL LAKE PUD,19613,Single Family Residential,2 Story,8,2908,1224,1076,858,.15000000,2005,723000.00,677000.00
72,R1644232,8608249201,2020-07-29,2502 OWENS AVE 201,FORT COLLINS,80528,8087012000,TIMBERS CONDO ASSOC OF FTC SUPP 12 (20070027860),18729,Condo unit,Condo <= 3 Stories,19,1143,,,220,.00000000,2005,290000.00,287800.00
73,R1656552,8730217021,2020-07-29,1215 ZINNIA WAY,FORT COLLINS,80525,8319001000,"LAKEVIEW SUB, FTC",19724,Single Family Residential,Ranch,1,2231,2110,64,693,.14000000,2015,590000.00,551300.00
74,R1671819,9712240403,2020-07-29,401 LINDEN ST 1-403,FORT COLLINS,80524,8439000000,CONFLUENCE FORT COLLINS CONDO,19711,Condo unit,Condo > 3 Stories,20,1548,,,,.00000000,2019,1260000.00,698200.00
75,R1627137,9704217017,2020-07-28,1408 EXPEDITION CT,FORT COLLINS,80521,0741,POUDRE OVERLOOK,19829,Single Family Residential,2 Story,8,1913,1072,,952,.24000000,2005,550000.00,548600.00
76,R1628454,8832229050,2020-07-28,2432 SUNBURY LN,FORT COLLINS,80524,8098,"MAPLE HILL, FTC (20040004921)",18933,Single Family Residential,2 Story,8,2003,1293,,400,.13000000,2013,387000.00,408200.00
77,R1616097,8729243052,2020-07-28,2821 WILLOW TREE LN B,FORT COLLINS,80525,19977,"RIGDEN FARM, 7TH FILING, THE WILLOW",18729,Townhouse,Townhouse Two Story,68,1333,490,,462,.03000000,2003,322750.00,304500.00
78,R1607857,8608326003,2020-07-28,6508 E TRILBY RD,FORT COLLINS,80528,0679,WESTCHASE PUD,18729,Single Family Residential,2 Story,8,3018,2072,1796,825,.56000000,2006,850000.00,612000.00
79,R1587305,9710308034,2020-07-28,1827 LAPORTE AVE,FORT COLLINS,80521,1058,FREY,19715,Single Family Residential,Ranch,1,1038,,,288,.14000000,1953,346500.00,372900.00
80,R1580291,8607329018,2020-07-28,6532 FINCH CT,FORT COLLINS,80525,1740501,PARAGON POINT PUD,19613,Townhouse - 1/2 Duplex,Townhouse One Story,61,1268,1268,,,.09000000,1998,.00,329700.00
81,R1232355,9733116054,2020-07-28,3625 DALTON DR,FORT COLLINS,80526,04932,SPRINGFIELD PUD,19734,Single Family Residential,Ranch,1,1038,1038,,220,.09000000,1986,330000.00,318800.00
82,R1235346,8606340034,2020-07-28,5213 CORALBERRY CT,FORT COLLINS,80525,156601,OAKRIDGE VILLAGE PUD,19613,Single Family Residential,2 Story,8,1908,1078,,608,.16000000,1987,455000.00,448500.00
83,R1222406,9735215056,2020-07-28,3936 MOSS CREEK DR,FORT COLLINS,80526,13335,FOUR SEASONS PUD,19734,Single Family Residential,2 Story,8,1903,598,598,506,.15000000,1987,428000.00,445500.00
84,R1357662,9721437011,2020-07-28,2354 HAMPSHIRE CT,FORT COLLINS,80526,1752,HAMPSHIRE COURT,19722,Single Family Residential,2 Story,8,2197,1058,948,484,.23000000,1993,492500.00,497500.00
85,R1052608,9725122062,2020-07-28,801 E DRAKE RD K62,FORT COLLINS,80525,1387,SCOTCH PINES CONDO,19724,Condo unit,Condo <= 3 Stories,19,918,,,,.00000000,1974,226500.00,210700.00
86,R1054210,9725122061,2020-07-28,801 E DRAKE RD K61,FORT COLLINS,80525,1387,SCOTCH PINES CONDO,19724,Condo unit,Condo <= 3 Stories,19,888,,,,.00000000,1974,226500.00,207200.00
87,R0333069,9601313004,2020-07-28,5330 FOSSIL RIDGE DR,FORT COLLINS,80525,040604,FOSSIL CREEK MEADOWS,19601,Townhouse,Townhouse Two Story,68,1446,648,548,400,.10000000,1979,355000.00,342400.00
88,R0196673,8831105017,2020-07-28,1905 RICHARDS LAKE RD,FORT COLLINS,80524,0255,COUNTRY CLUB HEIGHTS,19836,Single Family Residential,Ranch,1,1983,912,912,638,.39000000,1969,590000.00,539100.00
89,R0241423,0601105200,2020-07-28,4928 SANDSTONE DR,FORT COLLINS,80526,0212,HORSETOOTH LAKE ESTATES,19829,Single Family Residential,2 Story,8,1298,,,576,.38000000,1979,435000.00,394100.00
90,R0081175,9715306080,2020-07-27,1913 W LAKE ST,FORT COLLINS,80521,11244,MILLER BROTHERS S. FOOTHILLS,19715,Single Family Residential,2 Story,8,1916,912,600,240,.17000000,1963,440000.00,484600.00
91,M9013644,9702100028,2020-07-27,1601 N COLLEGE AVE 283,FORT COLLINS,80524,,,MH2,MH In Park,Single Wide,14,938,,,,.00000000,1973,15000.00,9300.00
92,M9055202,8708200043,2020-07-27,401 TIMBERLINE LN 295,FORT COLLINS,80524,,,MH3,MH In Park,Single Wide,14,1216,,,,.00000000,1999,40000.00,19400.00
93,R0004804,8719106007,2020-07-27,1600 EDORA CT,FORT COLLINS,80525,10361,EDORA ACRES,199,Multi 2 Story,Apartment <= 3 Stories,17,5419,4448,,1816,.37000000,1978,1137755.00,950000.00
94,R0029467,9711228022,2020-07-27,312 N GRANT AVE,FORT COLLINS,80521,1221,WEST SIDE,19711,Single Family Residential,Ranch,1,1120,336,,,.11000000,1900,364400.00,462000.00
95,R0661228,9716217002,2020-07-27,2736 W ELIZABETH ST,FORT COLLINS,80521,1262,MOUNTAIRE,19715,Single Family Residential,Ranch,1,1494,,,400,.27000000,1955,510000.00,439900.00
96,R0772968,9711451005,2020-07-27,421 S HOWES ST S1005,FORT COLLINS,80521,1326,PARK LANE TOWERS CONDO,19711,Condo unit,Condo > 3 Stories,20,849,,,,.00000000,1965,315000.00,266300.00
97,R1644078,8711120013,2020-07-27,274 DUESENBERG LN,FORT COLLINS,80524,0821001000,AUBURN ESTATES CONSERVATION DEVELOPMENT 03-S2143 (20070021442),18933,Single Family Residential,Ranch,1,2251,2244,2244,1479,.45000000,2014,985000.00,822200.00
98,R1652511,8832251061,2020-07-27,2537 LYNNHAVEN LN,FORT COLLINS,80524,8098001004,MAPLE HILL 4TH REPLAT,18933,Single Family Residential,Split Level,7,1796,382,,616,.11000000,2013,384000.00,358900.00
99,R1641188,8623115002,2020-07-27,5730 RIDGEWAY DR,FORT COLLINS,80528,057921,"HIGHLAND HILLS PUD 2ND, AMD LOT 1 AND LOT 2 PLAT FILE #06-S2540",28623,Single Family Residential,2 Story,8,5404,3128,3128,1101,1.04000000,1995,1150000.00,1250400.00
100,R1659183,8606249032,2020-07-27,4751 PLEASANT OAK DR A32,FORT COLLINS,80525,8215013000,MACKENZIE PLACE OAKRIDGE CONDOS SUPP 13,19613,Townhouse/Condo,Townhouse One Story,61,1391,,,441,.00000000,2015,382500.00,380200.00
101,R1662220,8708134004,2020-07-24,2721 CONQUEST ST,FORT COLLINS,80524,8255002000,EAST RIDGE 2nd FILING,18933,Single Family Residential,2 Story,8,1746,868,,586,.09000000,2020,443655.00,414300.00
102,R1629120,8704415029,2020-07-24,802 WATERGLEN DR G29,FORT COLLINS,80524,80546,"ABERDEEN AT WATERGLEN, SUPP 6 (BLDG G), FTC (20040010844)",18933,Townhouse/Condo,Townhouse Two Story,68,1294,,,240,.00000000,2003,270000.00,273500.00
103,R1630744,9701376022,2020-07-24,851 BAUM ST D,FORT COLLINS,80524,8116,"OLD TOWN NORTH, FTC (20040056692)",19836,Townhouse,Townhouse Two Story,68,1526,,,380,.04000000,2014,439000.00,432300.00
104,R1607863,8608326009,2020-07-24,6514 WESTCHASE CT,FORT COLLINS,80528,0679,WESTCHASE PUD,18729,Single Family Residential,2 Story,8,3106,1585,1437,895,.75000000,2005,951000.00,903400.00
105,R1604481,8607431109,2020-07-24,1732 FOSSIL CREEK PKWY,FORT COLLINS,80528,8027,LINDEN PARK PDP,19613,Single Family Residential,2 Story,8,1792,726,,399,.11000000,2003,400000.00,390200.00
106,R0708810,8706154001,2020-07-24,1384 ADRIEL DR,FORT COLLINS,80524,0995120,ADRIEL HILLS OVERALL,19836,Townhouse/Condo,Townhouse One Story,61,1568,1568,1568,576,.00000000,1977,375750.00,406500.00
107,R0742171,9726318009,2020-07-24,3194 WORTHINGTON AVE,FORT COLLINS,80526,12307,WOODWEST,19722,Single Family Residential,2 Story,8,1944,832,704,440,.46000000,1979,430000.00,459600.00
108,R0715271,8730210004,2020-07-24,1301 CENTENNIAL RD,FORT COLLINS,80525,1267,EASTBOROUGH,19724,Single Family Residential,Ranch,1,1524,1178,1050,400,.26000000,1980,558000.00,475400.00
109,R0722006,9721268019,2020-07-24,2924 ROSS DR H19,FORT COLLINS,80526,122703,WILLOW LANE,19722,Townhouse,Townhouse Two Story,68,1102,,,,.02000000,1979,250000.00,231600.00
110,R0024406,9711121010,2020-07-24,320 N SHERWOOD ST,FORT COLLINS,80521,//10053,FTC BLK 53,19711,Single Family Residential,Ranch,1,780,,,576,.17000000,1922,390000.00,289500.00
111,R0117692,9724323003,2020-07-24,2521 TULANE DR,FORT COLLINS,80525,11747,SOUTH COLLEGE HEIGHTS,19724,Single Family Residential,Ranch,1,1272,984,744,264,.18000000,1964,431000.00,391800.00
112,R0051624,9713121036,2020-07-24,800 LOCUST ST,FORT COLLINS,80524,1007,BLAKE,19711,Single Family Residential,Ranch,1,1659,,,326,.18000000,1958,660000.00,512500.00
113,R0152641,9824300049,2020-07-24,4117 N HIGHWAY 1,FORT COLLINS,80524,/240869,S24 T08 R69,19836,Single Family Residential,Ranch,1,1408,,,,1.00000000,1973,433300.00,433000.00
114,R0092339,9716212005,2020-07-24,908 ROCKY RD,FORT COLLINS,80521,1159,RHODES,19715,Single Family Residential,Ranch,1,1564,,,318,.18000000,1969,395000.00,354400.00
115,R0054666,9713214025,2020-07-24,519 E MYRTLE ST,FORT COLLINS,80524,//10166,FTC BLK 166,19711,Single Family Residential,Ranch,1,912,660,495,180,.11000000,1921,438000.00,303500.00
116,R0053201,9713209006,2020-07-24,509 REMINGTON ST,FORT COLLINS,80524,//10125,FTC BLK 125,19711,Single Family Residential,2 Story,8,1715,774,,558,.14000000,1909,609500.00,596600.00
117,R0093050,9716400022,2020-07-24,2142 W PROSPECT RD,FORT COLLINS,80526,/160769,S16 T07 R69,19715,Single Family Residential,Ranch,1,1815,1095,1095,1200,.86000000,1959,837000.00,689300.00
118,R0096075,9716424042,2020-07-24,2437 POPLAR DR,FORT COLLINS,80521,11212,MILLER,19715,Single Family Residential,Ranch,1,994,864,864,260,.19000000,1967,369500.00,347200.00
119,R0218502,9836115002,2020-07-24,820 COUNTRY CLUB RD,FORT COLLINS,80524,0118,CRESTVIEW,19836,Single Family Residential,Split Level,7,1886,480,480,440,.46000000,1976,445000.00,488900.00
120,R0178284,8731308014,2020-07-24,1307 BRITTANY CT,FORT COLLINS,80525,1344,GOLDEN MEADOWS,19601,Single Family Residential,2 Story,8,1816,624,,564,.20000000,1980,400000.00,416800.00
121,R0174971,9721111209,2020-07-24,1924 CORRIEDALE CT,FORT COLLINS,80526,10131,BROWN FARM,19722,Single Family Residential,Bi Level 2 Story,4,1632,,,504,.24000000,1972,337000.00,351000.00
122,R0240303,0601105099,2020-07-24,4724 CLIFF VIEW LN,FORT COLLINS,80526,0212,HORSETOOTH LAKE ESTATES,19829,Single Family Residential,Ranch,1,2281,1276,1276,835,.36000000,1977,560000.00,557300.00
123,R0266019,9727305142,2020-07-24,1937 NEWCASTLE CT,FORT COLLINS,80526,1348,ROSSBOROUGH,19722,Single Family Residential,2 Story,8,2699,,,,.15000000,1983,397500.00,394400.00
124,R1599365,8605474020,2020-07-24,2714 COUNTY FAIR LN,FORT COLLINS,80528,8014,HARVEST PARK,18729,Single Family Residential,Ranch,1,1657,1657,,462,.11000000,2004,457500.00,442700.00
125,R1498983,8622141063,2020-07-24,7945 BAYSIDE DR,FORT COLLINS,80528,05773,COUNTRY MEADOWS PUD,28623,Single Family Residential,2 Story,8,2405,1188,,760,.42000000,1997,549000.00,516700.00
126,R1340751,8732105030,2020-07-24,2725 ANTELOPE RD,FORT COLLINS,80525,1733,ENGLISH RANCH,18729,Single Family Residential,2 Story,8,2086,1000,,380,.25000000,1995,445000.00,469400.00
